,Venue,Address,Day,Time,Host
0,Wunder Garten,"1101 First Street NE
Washington, DC 20002",Wednesday,7:00PM,District Trivia
1,Penn Social,"801 E St NW
Washington, DC 20004",Tuesday,7:00PM,District Trivia
2,Bonchon (Navy Yard),"1015 Half St SE
Washington, DC 20003",Tuesday,7:30PM,District Trivia
3,Irish Channel (Chinatown),"500 H St NW
Washington, DC 20001",Wednesday,7:00PM,District Trivia
4,Boundary Stone,"116 Rhode Island Ave NW
Washington, DC 20001",Tuesday,7:30PM,District Trivia
5,Maddy's Tap Room,"100 13th Street NW
Washington, DC 20005",Tuesday,7:30PM,District Trivia
6,Franklin Hall,"1348 Florida Avenue NW
Washington, DC 20009",Monday,7:00PM,District Trivia
7,Lost & Found,"1240 9th Street NW
Washington, DC 20001",Monday,8:00PM,District Trivia
8,Lou's City Bar,"1400 Irving Street Northwest
Washington, DC 20010",Tuesday,7:30PM,District Trivia
9,Arcuri,"2400 Wisconsin Ave NW
Washington, DC 20007",Thursday,8:00PM,District Trivia
10,HalfSmoke,"651 Florida Avenue NW
Washington, DC 20001",Tuesday,7:30PM,District Trivia
11,Froggy Bottom Pub,"2021 K Street NW
Washington, DC 20006",Tuesday,7:30PM,District Trivia
12,Radiator,"1430 Rhode Island Ave NW
Washington, DC 20005",Monday,8:00PM,District Trivia
13,Bier Baron (Wednesday),"1523 22nd St NW
Washington, DC 20037",Wednesday,7:30PM,District Trivia
14,Free State,"501B G Street
Washington, DC 20003",Sunday,7:00PM,District Trivia
15,Bier Baron (Monday),"1523 22nd St NW
Washington, DC 20037",Monday,7:30PM,District Trivia
16,Hawk 'n Dove,"329 Pennsylvania Ave SE
Washington, DC 20003",Tuesday,8:00PM,District Trivia
17,The Big Stick,"20 M St SE
Washington, DC 20003",Wednesday,8:00PM,District Trivia
18,Buffalo Billiards,"1330 19th St NW
Washington, DC 20036",Wednesday,7:30PM,District Trivia
19,Crown & Crow,"1313 14th St NW
Washington, DC 20005",Wednesday,7:30PM,District Trivia
20,Crimson,"627 H Street NW
Washington, DC 20001",Tuesday,7:00PM,District Trivia
21,Moreland's Tavern,"5501 14th St. NW
Washington, DC 20011",Tuesday,7:00PM,District Trivia
22,Iron Horse Tap Room,"507 7th Street NW
Washington, DC 20004",Thursday,8:00PM,District Trivia
23,Sign of the Whale,"1825 M Street NW
Washington, DC 20036",Thursday,7:00PM,District Trivia
24,City Tap House (Dupont),"1250 Connecticut Avenue NW
Washington, DC 20036",Sunday,7:30PM,District Trivia
25,Roofers Union,"2446 18th St NW
Washington , DC 20009",Thursday,7:30PM,District Trivia
26,Finn McCool's,"713 8th St SE
Washington, DC 20003",Wednesday,8:00PM,District Trivia
27,Exiles Bar,"1610 U Street NW
Washington, DC 20009",Tuesday,8:00PM,District Trivia
28,D.C. Reynolds,"3628 Georgia Ave NW
Washington, DC 20010",Sunday,7:00PM,District Trivia
29,Willies Brew & Que,"300 Tingey St SE
Washington, DC 20003",Thursday,7:00PM,District Trivia
30,Agua 301,"301 water Street SE
Washington, DC 20003",Monday,8:00PM,District Trivia
31,Bar Elena DC,"414 H Street NE
Washington, DC 20002",Sunday,7:00PM,District Trivia
32,Homestead,"3911 Georgia Ave NW
Washington, DC 20011",Wednesday,8:00PM,District Trivia
33,Meridian Pint,"3400 11st Street NW
Washington, DC 20010",Wednesday,8:00PM,District Trivia
34,Provision No. 14,"2100 14th Street NW
Washington, DC 20009",Wednesday,8:00PM,District Trivia
35,Ri Ra Georgetown,"3125 M Street NW
Georgetown, DC 20007",Tuesday,7:30PM,District Trivia
36,Church Hall,"3222 M Street, NW 
Washington, DC 20007",Monday,7:00PM,District Trivia
37,St. Arnold's (Cleveland Park),"3433 Connecticut Ave NW
Washington, DC 20008",Wednesday,7:30PM,District Trivia
38,Smoke & Barrel,"2471 18th Street, N.W. 
Washington, DC 20009",Wednesday,7:00PM,District Trivia
39,Caddies on Cordell,"4922 Cordell Avenue
Bethesda, MD 20814",Tuesday,7:30PM,District Trivia
40,Kusshi Sushi,"11826 Trade Street
North Bethesda, MD 20852",Tuesday,7:00PM,District Trivia
41,World of Beer (RVILL MON),"196B East Montgomery Ave
Rockville, MD 20850",Monday,7:00PM,District Trivia
42,Pizzeria Paradiso (MD),"4800 Rhode Island Avenue
Hyattsville, MD 20781",Tuesday,7:00PM,District Trivia
43,The Board and Brew,"8150 Baltimore Ave
College Park, MD 20740",Thursday,7:30PM,District Trivia
44,MilkBoy ArtHouse,"7416 Baltimore Ave
College Park, MD 20740",Tuesday,7:30PM,District Trivia
45,Lahinch Tavern & Grill,"7747 Tuckerman Lane
Potomac, MD 20854",Monday,7:00PM,District Trivia
46,Looney's Pub (Monday),"8150 Baltimore Avenue
College Park, MD 20740",Monday,7:00PM,District Trivia
47,Union Jack's,"9811 Washingtonian Blvd
Gaithersburg, MD 20878",Tuesday,7:00PM,District Trivia
48,The Brass Tap,"164 Fleet Street 
National Harbor, MD ",Wednesday,7:30PM,District Trivia
49,Brickside,"4866 Cordell Ave
Bethesda, MD 20814",Wednesday,7:30PM,District Trivia
50,World of Beer (BETH TUE),"7200 Wisconsin Avenue
Bethesda, MD 20814",Tuesday,7:00PM,District Trivia
51,True Respite Brewing Co.,"7301 Calhoun PI #600
Derwood, MD 20855",Thursday,7:00PM,District Trivia
52,World of Beer (RVILLE WED),"196 E Montgomery Ave Ste B
Rockville, MD 20805",Wednesday,7:00PM,District Trivia
53,Looney's Pub (Wednesday),"8150 Baltimore Ave
College Park, MD 20740",Wednesday,7:00PM,District Trivia
54,World of Beer (BETH SUN),"7200 Wisconsin Ave.
Bethesda, MD 20814",Sunday,7:00PM,District Trivia
55,Hanaro Sushi,"7820 Norfolk Ave
 Bethesda, MD 20814",Monday,7:30PM,District Trivia
56,World of Beer (Ashburn),"44699 Bbrimfield Dr
Ashburn, VA 20147",Tuesday,8:00PM,District Trivia
57,William Jeffrey's Tavern,"2301 Columbia Pike Suite 101
Arlington, VA 22204",Wednesday,7:30PM,District Trivia
58,Mister Days (Thursday),"3100 Clarendon Blvd
Arlington, VA 22201",Thursday,7:00PM,District Trivia
59,Ornery Beer Company,"3950 University Drive #209
Fairfax, VA 22030",Monday,7:00PM,District Trivia
60,South Riding Inn,"43090 Peacock Market Plaza
South Riding, VA 20152",Tuesday,7:30PM,District Trivia
61,Sully's Pour House,"754 Elden Street Ste 102 
Herndon, VA 20170",Wednesday,7:15PM,District Trivia
62,ATR (Reston),"1811 Library Street
Reston, VA 20190",Thursday,7:00PM,District Trivia
63,Auld Shebeen,"3971 Chain Bridge Road
Fairfax, VA 22030",Tuesday,7:30PM,District Trivia
64,Rhodeside Grill,"1836 Wilson Blvd
Arlington, VA 22201",Tuesday,7:30PM,District Trivia
65,Austin Grill,"8430 Old Keene Mill Rd
Springfield, VA 20147",Monday,7:00PM,District Trivia
66,Courthaus Social,"2300 Clarendon Blvd
Arlington, VA 22201",Wednesday,7:00PM,District Trivia
67,Mister Days (Tuesday),"3100 Clarendon Blvd
Arlington, VA 22201",Tuesday,7:00PM,District Trivia
68,Mad Fox (Falls Church),"444 W. Broad Street
Falls Church, VA 22046",Tuesday,7:30PM,District Trivia
69,Ragtime,"1345 N Courthouse Rd
Arlington, VA 22201",Monday,7:30PM,District Trivia
70,Blue Iguana,"12727 Shoppes Lane
 Fairfax, VA 22033",Thursday,7:00PM,District Trivia
71,Crafthouse (ARL TUE),"901 N Glebe Rd
Arlington, VA 22203",Tuesday,7:30PM,District Trivia
72,Rustico (Ballston),"4075 Wilson Boulevard
Arlington, VA 22203",Sunday,7:00PM,District Trivia
73,O'Sullivan's (Clarendon),"3207 Washington Blvd
Arlington, VA 22201",Wednesday,7:00PM,District Trivia
74,Crafthouse (ARL MON),"901 N Glebe Rd
Arlington, VA 22203",Monday,7:30PM,District Trivia
75,Hen Quarter (Alexandria),"801 King Street
Alexandria, VA 22314",Thursday,7:30PM,District Trivia
76,Falls Church Distillers,"442 S Washington St Suite A
Falls Church, VA 22046",Thursday,7:30PM,District Trivia
77,Highline RxR,"2010 Crystal Dr
Arlington, VA 22202",Monday,7:00PM,District Trivia
78,Crafthouse Fairfax,"11861 Palace Way
Fairfax, VA 22030",Tuesday,8:00PM,District Trivia
79,Crafthouse Reston,"1888 Explorer St
Reston, VA 20190",Tuesday,8:00PM,District Trivia
80,Spanky's Shenanigans,"538 E Market St
Leesburg, VA 20716",Wednesday,7:00PM,District Trivia
81,Siné Irish Pub,"1301 S Joyce St
Arlington, VA 22202",Sunday,7:00PM,District Trivia
82,World of Beer (C'ville),"852 W Main St
Charlottesville, VA 22903",Tuesday,7:00PM,District Trivia
